"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2121.03963723297
"2","member","Sunday",887.985223809126
"3","casual","Monday",1831.64501648592
"4","member","Monday",758.746749736117
"5","casual","Tuesday",1574.55494390635
"6","member","Tuesday",736.73078572041
"7","casual","Wednesday",1599.43815152692
"8","member","Wednesday",738.567312437941
"9","casual","Thursday",1662.46003097721
"10","member","Thursday",746.551735819804
"11","casual","Friday",1726.77433064173
"12","member","Friday",766.944556208256
"13","casual","Saturday",2010.45601854395
"14","member","Saturday",877.438917105025
